"","video_id","publishedAt","title","description","id","viewCount","likeCount","favoriteCount","commentCount"
"170","NA9FX_Dj2RA",2022-02-07,"CNN MELTS DOWN As Cuomo Gets $9 MILLION In Hush Money | Breaking Points with Krystal and Saagar","Krystal and Saagar dive into the drama happening behind the scenes at CNN as Chris Cuomo's leaks and Jeff Zucker's ...","NA9FX_Dj2RA",246194,8056,0,887
"171","B3RRXa1ZdI8",2022-03-10,"Saagar Enjeti: Biden Says NOTHING To Be Done On High Gas Prices","Saagar dives into why the Biden Presidency is failing in nearly every measure after Joe Biden claimed that he could not do ...","B3RRXa1ZdI8",106862,4997,0,1235
"172","1dVmAh_rDNM",2022-06-15,"Amber Heard BLAMES Social Media For Depp Trial Decision | Breaking Points with Krystal and Saagar","Krystal and Saagar respond to Amber Heard's belief that social media was to blame for the decision in her trial against Johnny ...","1dVmAh_rDNM",104492,3404,0,1054
"173","43Bt_klNhf0",2022-08-14,"Starbucks Union Workers FALSELY ACCUSED Of Kidnapping Manager","Krystal and Saagar take viewers through the false accusation by a Starbucks manager that union workers kidnapped and ...","43Bt_klNhf0",28121,1426,0,199
"174","f6c8xhAA6Ss",2022-03-31,"GOP FREAKS Over Madison Cawthorn Drug &amp; Orgy Claims | Breaking Points with Krystal and Saagar","Krystal and Saagar comment on the claims made by GOP Rep. Madison Cawthorn about cocaine and orgies in DC that got GOP ...","f6c8xhAA6Ss",100058,3122,0,932
"175","XBRqRmlhchA",2022-07-31,"Fetterman RUTHLESSLY Mocks Dr Oz NJ Residence | Breaking Points with Krystal and Saagar","Krystal and Saagar look at the creative ways the John Fetterman campaign is mocking Dr Oz for being a carpetbagger from New ...","XBRqRmlhchA",60921,2451,0,455
"176","qc6IMi6623Y",2022-07-11,"Dems FREAK At Biden&#39;s Lack Of Abortion Action | Breaking Points with Krystal and Saagar","Krystal and Saagar look at how Democratic insider have reacted to Biden's lack of action on abortion and the executive order he ...","qc6IMi6623Y",79120,2975,0,744
"177","OmKhP4TmF4w",2022-07-25,"GOP In DISARRAY Over Gay Marriage Vote | Breaking Points with Krystal and Saagar","Krystal and Saagar analyze the divides forming within the GOP over gay marriage after Democrats passed a bill codifying it in the ...","OmKhP4TmF4w",93336,3124,0,1423
"178","TY-bWL4N6ao",2022-04-29,"Krystal and Saagar Have HEATED DEBATE On Disney, DeSantis | Breaking Points with Krystal and Saagar","Krystal and Saagar go back and forth on the legislation passed in Florida concerning Disney after the company came out against ...","TY-bWL4N6ao",143524,5881,0,3543
"179","V9p8WJ__rh0",2022-04-17,"McConnell CONFRONTED On Moral Redlines, Refuses to Answer | Breaking Points with Krystal and Saagar","Krystal and Saagar respond to an extended back and forth between Mitch McConnell and Axios journalist Jonathan Swan about ...","V9p8WJ__rh0",64995,2709,0,587
"180","KyvslSXJipk",2022-05-02,"Richard Wolff CALLS Out Economists Who Missed GDP Decline | Breaking Points with Krystal and Saagar","Krystal and Saagar are joined by economist Richard Wolff to better understand the GDP contraction and why the consensus of ...","KyvslSXJipk",76160,3489,0,765
"181","7eIKe0w0s9M",2022-05-25,"Krystal Ball: DISGUSTED Aussies Continue THRASHING of Global Elites","Krystal gives her analysis of the Australian elections that saw Aussies reject their two parties and the global elites at rates that ...","7eIKe0w0s9M",114394,4141,0,1001
"182","coqCerwEx4c",2022-07-15,"Jon Stewart RESPONDS TO Calls For 2024 Run | Breaking Points with Krystal and Saagar","Krystal and Saagar look at how Jon Stewart responded to calls for him to run for President in 2024 because of his reach and ...","coqCerwEx4c",194707,5972,0,1679
"183","-BGyik9seu0",2022-05-03,"AOC Endorses Nina Turner TWELVE HOURS Before Election | Breaking Points with Krystal and Saagar","Krystal and Saagar break down the Nina Turner vs Shontel Brown House primary in Ohio's 11th district including the decision by ...","-BGyik9seu0",64468,2519,0,706
"184","hybOx48Kuls",2022-08-02,"Trump Endorses &#39;ERIC&#39; In Epic Troll Ahead Of MO Primary | Breaking Points with Krystal and Saagar","Krystal and Saagar explain how Trump trolled Missouri GOP voters with a strange non-endorsement ahead of a competitive ...","hybOx48Kuls",41231,1412,0,222
"185","TjADMjBHNRk",2022-03-10,"Colbert Says High Gas Prices Are PATRIOTIC DUTY | Breaking Points with Krystal and Saagar","Krystal and Saagar cover the liberal elite demand that Americans bear the cost of higher gas prices as a patriotic duty in response ...","TjADMjBHNRk",134615,4675,0,1686
"186","Gz2f8peN-4c",2022-07-25,"Russia Has Germany &#39;By The Balls&#39; On Natural Gas | Breaking Points with Krystal and Saagar","Krystal and Saagar analyze the effects of Russia re-opening the Nordstream 1 pipeline Germany relies on for natural gas To ...","Gz2f8peN-4c",64122,2538,0,762
"187","HaYgWkNdsGc",2022-06-20,"Krystal DESTROYS Inflation Talking Points On Bill Maher | Breaking Points with Krystal and Saagar","Krystal and Saagar talk about Krystal's appearance on Bill Maher's show that went super viral after she took down the inflation ...","HaYgWkNdsGc",418179,22645,0,5072
"188","da6yLBllY5o",2022-06-30,"POLL: Big Winner Of Jan 6 Hearings Is Ron DeSantis | Breaking Points with Krystal and Saagar","Krystal and Saagar consider what the Jan 6 hearings mean for Ron DeSantis and the challenge he could pose to Donald Trump ...","da6yLBllY5o",81756,2237,0,803
"189","72JbTnBS1ek",2022-04-18,"BIPARTISAN Stock Ban Progresses Thanks To Populist UPRISING |Breaking Points with Krystal and Saagar","Krystal and Saagar update viewers on the progress being made by a bipartisan coalition of lawmakers on a possible ban of ...","72JbTnBS1ek",72112,3393,0,364
"190","K3WCN6o1cOg",2022-07-14,"SHOCK MOMENT: John Bolton ADMITS Staging Coups On Behalf Of US | Breaking Points","Krystal and Saagar react to the shocking moment on CNN when longtime neocon John Bolton admitted to orchestrating coups in ...","K3WCN6o1cOg",90973,3045,0,597
"191","xmj-Q1gAFDY",2022-06-20,"FIRST Apple Store Unionizes As Retail Wave Spreads | Breaking Points with Krystal and Saagar","Krystal and Saagar cover the first unionization of an Apple store signifying the spread of the union wave among retail workers in ...","xmj-Q1gAFDY",51889,1895,0,362
"192","X5qWarQpaAE",2022-06-14,"Libs Push LIZ CHENEY For President | Breaking Points with Krystal and Saagar","Krystal and Saagar tear into the liberals pushing for Liz Cheney to run for President after her performance in the Jan 6th hearings ...","X5qWarQpaAE",109937,3485,0,1368
"193","TM9leZCle4U",2022-05-03,"EVERYTHING You Need to Know: SCOTUS To Overturn Roe v. Wade |Breaking Points with Krystal and Saagar","Krystal and Saagar provide viewers with fact vs fiction on the leaked draft opinion showing that SCOTUS is set to overturn the Roe ...","TM9leZCle4U",231287,8015,0,4317
"194","CAG4BKDjeqA",2022-06-06,"Dems PANIC Over John Fetterman Health Concerns | Breaking Points with Krystal and Saagar","Krystal and Saagar look at the lack of transparency and health concerns surrounding PA Dem Senate candidate John Fetterman ...","CAG4BKDjeqA",59547,1857,0,518
"195","PP8OllY8E2g",2022-07-11,"Biden BLAMES Abortion Activists For His Own Failures | Breaking Points with Krystal and Saagar","Krystal and Saagar question the Biden administration's finger pointing at abortion activists for his own failures to act on the issue ...","PP8OllY8E2g",62598,2373,0,491
"196","yP0HvZeS6PU",2022-07-07,"Bannon TRASHES Rogan For Refusing Trump Interview | Breaking Points with Krystal and Saagar","Krystal and Saagar discuss the sharp criticism from former Trump aide Steve Bannon directed towards Joe Rogan for not ...","yP0HvZeS6PU",178296,4885,0,1254
"197","edzZTva_MdI",2022-08-11,"Biden Celebrates &#39;ZERO Inflation&#39; Despite High Rent, Electricity | Breaking Points","Krystal and Saagar bring the latest inflation numbers and explain why Joe Biden is celebrating zero inflation despite continued ...","edzZTva_MdI",60362,1912,0,442
"198","tZ1Qee6NpeI",2022-06-28,"States in CHAOS Over Abortion Decision | Breaking Points with Krystal and Saagar","Krystal and Saagar examine the chaos of state abortion policy after Roe because some states have strong restrictions and others ...","tZ1Qee6NpeI",80503,2555,0,1040
"199","Mr8k_FQXMqw",2022-05-29,"Krystal and Saagar DEBATE Solutions to Gas Prices | Breaking Points with Krystal and Saagar","Krystal and Saagar go back and forth on the different solutions to the gas price issue that can be implemented to combat high ...","Mr8k_FQXMqw",65594,2435,0,1084
"200","1wPNvGv1b_o",2022-06-07,"Starbucks DECLARES WAR, Closes Union Store | Breaking Points with Krystal and Saagar","Krystal and Saagar scrutinize the decision by Starbucks to retaliate against union workers by closing a union store in an ...","1wPNvGv1b_o",55721,2363,0,737
"201","3DyAWNaqhsw",2022-07-25,"All But TEN Republicans Vote Against Contraception Right | Breaking Points with Krystal and Saagar","Krystal and Saagar examine the ramifications of Democrats forcing Republicans to vote on social issues previously decided by ...","3DyAWNaqhsw",78059,2614,0,1372
